yourlist:M201907185C475328CEF75220C360D524E9D456CE29FB3CW	Entry	Gene names	Protein names	EC number	Function [CC]	Pathway	Keywords	Protein existence	Gene ontology (GO)	Protein families	Taxonomic lineage (SUPERKINGDOM)	Taxonomic lineage (PHYLUM)	Taxonomic lineage (CLASS)	Taxonomic lineage (ORDER)	Taxonomic lineage (FAMILY)	Taxonomic lineage (GENUS)	Taxonomic lineage (SPECIES)	Cross-reference (BioCyc)	Cross-reference (BRENDA)	Cross-reference (CDD)	Cross-reference (eggNOG)	Ensembl transcript	Cross-reference (InterPro)	Cross-reference (KEGG)	Cross-reference (KO)	Cross-reference (Pfam)	Cross-reference (Reactome)	Cross-reference (RefSeq)	Cross-reference (UniPathway)	Organism	Organism ID
A0A090JVT4	A0A090JVT4	DSM1535_1269	Putative ABC transporter ATP-binding protein MJ0089				ATP-binding;Complete proteome;Nucleotide-binding	Predicted	ATP binding [GO:0005524]; ATPase activity [GO:0016887]		Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR003593;IPR003439;IPR017871;IPR027417;	mfi:DSM1535_1269;	K02013;	PF00005;		WP_048072799.1;		Methanobacterium formicicum	2162
A0A089ZA06	A0A089ZA06	BRM9_0818 DSM1535_0781 MB9_1871	PRC-barrel domain-containing protein				Complete proteome	Predicted			Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR027275;IPR011033;	mfc:BRM9_0818;mfi:DSM1535_0781;		PF05239;				Methanobacterium formicicum	2162
A0A089ZAI4	A0A089ZAI4	fwdA BRM9_0178 DSM1535_1496 MB9_0143	Formylmethanofuran dehydrogenase subunit A FwdA (Protein FwdA)				Complete proteome	Predicted	hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds [GO:0016810]		Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR013108;IPR012027;IPR011059;IPR032466;	mfc:BRM9_0178;mfi:DSM1535_1496;	K00200;	PF07969;		WP_048072987.1;		Methanobacterium formicicum	2162
A0A090I5G4	A0A090I5G4	rrp41 BRM9_1736 DSM1535_2375 MB9_0621	Exosome complex component Rrp41 (EC 3.1.13.-)	3.1.13.-	FUNCTION: Catalytic component of the exosome, which is a complex involved in RNA degradation. Has 3'->5' exoribonuclease activity. Can also synthesize heteropolymeric RNA-tails. {ECO:0000256|HAMAP-Rule:MF_00591}.		Complete proteome;Cytoplasm;Exonuclease;Exosome;Hydrolase;Nuclease	Inferred from homology	cytoplasm [GO:0005737]; exosome (RNase complex) [GO:0000178]; 3'-5'-exoribonuclease activity [GO:0000175]; RNA catabolic process [GO:0006401]	RNase PH family, Rrp41 subfamily	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum			cd11366;			IPR001247;IPR015847;IPR036345;IPR027408;IPR020568;IPR011807;	mfc:BRM9_1736;mfi:DSM1535_2375;	K11600;	PF01138;PF03725;		WP_048073680.1;		Methanobacterium formicicum	2162
A0A090I368	A0A090I368	fwdE-2 fwdE4 BRM9_2346 DSM1535_1277	Formylmethanofuran dehydrogenase subunit E (EC 1.2.99.5) (Formylmethanofuran dehydrogenase subunit E FwdE4)	1.2.99.5			Complete proteome;Oxidoreductase	Predicted	formylmethanofuran dehydrogenase activity [GO:0018493]; zinc ion binding [GO:0008270]		Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR026328;IPR003814;IPR000962;	mfc:BRM9_2346;mfi:DSM1535_1277;	K11261;	PF02663;PF01258;		WP_048072805.1;		Methanobacterium formicicum	2162
A0A090I424	A0A090I424	eif5a BRM9_1913 DSM1535_0099 MB9_0444	Translation initiation factor 5A (Hypusine-containing protein) (eIF-5A)		FUNCTION: Functions by promoting the formation of the first peptide bond. {ECO:0000256|HAMAP-Rule:MF_00085, ECO:0000256|SAAS:SAAS00024275}.		Complete proteome;Cytoplasm;Hypusine;Initiation factor;Protein biosynthesis	Inferred from homology	cytoplasm [GO:0005737]; ribosome binding [GO:0043022]; translation elongation factor activity [GO:0003746]; translation initiation factor activity [GO:0003743]; positive regulation of translational elongation [GO:0045901]; positive regulation of translational termination [GO:0045905]; translational frameshifting [GO:0006452]	EIF-5A family	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR001884;IPR012340;IPR014722;IPR019769;IPR022847;IPR020189;IPR008991;	mfc:BRM9_1913;mfi:DSM1535_0099;	K03263;	PF01287;		WP_048071806.1;		Methanobacterium formicicum	2162
A0A090I904	A0A090I904	DSM1535_1429	Uncharacterized protein				Complete proteome;Membrane;Transmembrane;Transmembrane helix	Predicted	integral component of membrane [GO:0016021]		Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR018702;	mfi:DSM1535_1429;		PF09972;		WP_048072937.1;		Methanobacterium formicicum	2162
A0A090I4T3	A0A090I4T3	pyrE DSM1535_0494	Orotate phosphoribosyltransferase (OPRT) (OPRTase) (EC 2.4.2.10)	2.4.2.10	FUNCTION: Catalyzes the transfer of a ribosyl phosphate group from 5-phosphoribose 1-diphosphate to orotate, leading to the formation of orotidine monophosphate (OMP). {ECO:0000256|HAMAP-Rule:MF_01208}.	PATHWAY: Pyrimidine metabolism; UMP biosynthesis via de novo pathway; UMP from orotate: step 1/2. {ECO:0000256|HAMAP-Rule:MF_01208}.	Complete proteome;Glycosyltransferase;Magnesium;Pyrimidine biosynthesis;Transferase	Inferred from homology	magnesium ion binding [GO:0000287]; orotate phosphoribosyltransferase activity [GO:0004588]; 'de novo' UMP biosynthetic process [GO:0044205]; nucleoside metabolic process [GO:0009116]	Purine/pyrimidine phosphoribosyltransferase family, PyrE subfamily	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum			cd06223;			IPR023031;IPR004467;IPR000836;IPR029057;	mfi:DSM1535_0494;	K00762;	PF00156;		WP_048072141.1;	UPA00070;UER00119	Methanobacterium formicicum	2162
A0A090I938	A0A090I938	thiC1 thiC BRM9_0157 DSM1535_1479 MB9_0122	Phosphomethylpyrimidine synthase (EC 4.1.99.17) (Hydroxymethylpyrimidine phosphate synthase) (HMP-P synthase) (HMP-phosphate synthase) (HMPP synthase) (Thiamine biosynthesis protein ThiC)	4.1.99.17	FUNCTION: Catalyzes the synthesis of the hydroxymethylpyrimidine phosphate (HMP-P) moiety of thiamine from aminoimidazole ribotide (AIR) in a radical S-adenosyl-L-methionine (SAM)-dependent reaction. {ECO:0000256|HAMAP-Rule:MF_00089}.	PATHWAY: Cofactor biosynthesis; thiamine diphosphate biosynthesis. {ECO:0000256|HAMAP-Rule:MF_00089}.	4Fe-4S;Complete proteome;Iron;Iron-sulfur;Lyase;Metal-binding;S-adenosyl-L-methionine;Thiamine biosynthesis;Zinc	Inferred from homology	4 iron, 4 sulfur cluster binding [GO:0051539]; carbon-carbon lyase activity [GO:0016830]; zinc ion binding [GO:0008270]; thiamine biosynthetic process [GO:0009228]; thiamine diphosphate biosynthetic process [GO:0009229]	ThiC family	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR037509;IPR038521;IPR002817;	mfc:BRM9_0157;mfi:DSM1535_1479;	K03147;	PF01964;			UPA00060	Methanobacterium formicicum	2162
A0A089ZUT3	A0A089ZUT3	rpl3p rpl3 BRM9_0407 DSM1535_0334 MB9_1443	50S ribosomal protein L3		FUNCTION: One of the primary rRNA binding proteins, it binds directly near the 3'-end of the 23S rRNA, where it nucleates assembly of the 50S subunit. {ECO:0000256|HAMAP-Rule:MF_01325, ECO:0000256|SAAS:SAAS00349363}.		Complete proteome;RNA-binding;Ribonucleoprotein;Ribosomal protein;rRNA-binding	Inferred from homology	ribosome [GO:0005840]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	Universal ribosomal protein uL3 family	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR000597;IPR019928;IPR019926;IPR009000;	mfc:BRM9_0407;mfi:DSM1535_0334;	K02906;	PF00297;		WP_048072006.1;		Methanobacterium formicicum	2162
A0A090I3A9	A0A090I3A9	dnaK DSM1535_1169	Chaperone protein DnaK (HSP70) (Heat shock 70 kDa protein) (Heat shock protein 70)		FUNCTION: Acts as a chaperone. {ECO:0000256|HAMAP-Rule:MF_00332}.		ATP-binding;Chaperone;Coiled coil;Complete proteome;Nucleotide-binding	Inferred from homology	ATP binding [GO:0005524]; unfolded protein binding [GO:0051082]; protein folding [GO:0006457]	Heat shock protein 70 family	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR012725;IPR018181;IPR029048;IPR029047;IPR013126;	mfi:DSM1535_1169;	K04043;	PF00012;		WP_048072711.1;		Methanobacterium formicicum	2162
A0A090I5F3	A0A090I5F3	DSM1535_2355	Putative secreted protein				Complete proteome;Membrane;Transmembrane;Transmembrane helix	Predicted	integral component of membrane [GO:0016021]		Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR003814;	mfi:DSM1535_2355;		PF02663;		WP_048073667.1;		Methanobacterium formicicum	2162
A0A090I2R3	A0A090I2R3	DSM1535_1067	Uncharacterized protein				Complete proteome	Predicted			Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR038765;IPR002931;	mfi:DSM1535_1067;		PF01841;				Methanobacterium formicicum	2162
A0A090I7W3	A0A090I7W3	mcrB BRM9_0939 DSM1535_0909 MB9_1993	Methyl-coenzyme M reductase subunit beta (EC 2.8.4.1) (Coenzyme-B sulfoethylthiotransferase beta)	2.8.4.1		PATHWAY: One-carbon metabolism; methyl-coenzyme M reduction; methane from methyl-coenzyme M: step 1/1. {ECO:0000256|PIRNR:PIRNR000263}.	Complete proteome;Methanogenesis;Transferase	Predicted	coenzyme-B sulfoethylthiotransferase activity [GO:0050524]; methanogenesis [GO:0015948]		Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR008924;IPR015823;IPR003179;IPR022679;IPR022680;IPR009024;	mfc:BRM9_0939;mfi:DSM1535_0909;	K00401;	PF02241;PF02783;		WP_048072495.1;	UPA00646;UER00699	Methanobacterium formicicum	2162
A0A090I3V1	A0A090I3V1	fdhA BRM9_0168 DSM1535_1486 MB9_0133	Formate dehydrogenase alpha subunit FdhA (Formate dehydrogenase subunit alpha) (EC 1.2.1.2)	1.2.1.2			Complete proteome;Oxidoreductase	Predicted	4 iron, 4 sulfur cluster binding [GO:0051539]; electron transfer activity [GO:0009055]; formate dehydrogenase (NAD+) activity [GO:0008863]; molybdopterin cofactor binding [GO:0043546]; formate metabolic process [GO:0015942]		Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum			cd02790;cd02753;			IPR009010;IPR041925;IPR041924;IPR006478;IPR006657;IPR006656;IPR006963;IPR006655;IPR027467;	mfc:BRM9_0168;mfi:DSM1535_1486;	K22516;	PF04879;PF00384;PF01568;		WP_048072979.1;		Methanobacterium formicicum	2162
A0A090I4W3	A0A090I4W3	vhcA mvhA1 BRM9_0563 DSM1535_0544 MB9_1601	F420-non-reducing hydrogenase vhc subunit A (EC 1.12.99.-) (Methyl viologen-reducing hydrogenase alpha subunit MvhA1)	1.12.99.-			Complete proteome;Metal-binding;Nickel;Oxidoreductase	Inferred from homology	ferredoxin hydrogenase activity [GO:0008901]; nickel cation binding [GO:0016151]	[NiFe]/[NiFeSe] hydrogenase large subunit family	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR001501;IPR018194;IPR029014;	mfc:BRM9_0563;mfi:DSM1535_0544;	K14126;	PF00374;		WP_048072183.1;		Methanobacterium formicicum	2162
A0A089ZGF2	A0A089ZGF2	rpl13p rpl13 BRM9_0371 DSM1535_0298 MB9_1407	50S ribosomal protein L13		FUNCTION: This protein is one of the early assembly proteins of the 50S ribosomal subunit, although it is not seen to bind rRNA by itself. It is important during the early stages of 50S assembly. {ECO:0000256|HAMAP-Rule:MF_01366}.		Complete proteome;Ribonucleoprotein;Ribosomal protein	Inferred from homology	large ribosomal subunit [GO:0015934]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	Universal ribosomal protein uL13 family	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum			cd00392;			IPR005822;IPR005755;IPR036899;	mfc:BRM9_0371;mfi:DSM1535_0298;	K02871;	PF00572;		WP_048071973.1;		Methanobacterium formicicum	2162
A0A089ZEW4	A0A089ZEW4	rpl11p rpl11 BRM9_1814 DSM1535_2456 MB9_0542	50S ribosomal protein L11		FUNCTION: Forms part of the ribosomal stalk which helps the ribosome interact with GTP-bound translation factors. {ECO:0000256|HAMAP-Rule:MF_00736}.		Complete proteome;RNA-binding;Ribonucleoprotein;Ribosomal protein;rRNA-binding	Inferred from homology	ribosome [GO:0005840]; large ribosomal subunit rRNA binding [GO:0070180]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	Universal ribosomal protein uL11 family	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum			cd00349;			IPR000911;IPR036796;IPR020783;IPR036769;IPR020785;IPR020784;	mfc:BRM9_1814;mfi:DSM1535_2456;	K02867;	PF00298;PF03946;		WP_048073749.1;		Methanobacterium formicicum	2162
A0A090I8V0	A0A090I8V0	thrS DSM1535_1353	Threonine--tRNA ligase (EC 6.1.1.3) (Threonyl-tRNA synthetase) (ThrRS)	6.1.1.3			ATP-binding;Aminoacyl-tRNA synthetase;Complete proteome;Cytoplasm;Ligase;Metal-binding;Nucleotide-binding;Protein biosynthesis;RNA-binding;Zinc;tRNA-binding	Inferred from homology	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; threonine-tRNA ligase activity [GO:0004829]; tRNA binding [GO:0000049]; zinc ion binding [GO:0008270]; threonyl-tRNA aminoacylation [GO:0006435]	Class-II aminoacyl-tRNA synthetase family	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR002314;IPR006195;IPR004154;IPR036621;IPR023509;IPR002320;IPR015011;	mfi:DSM1535_1353;	K01868;	PF03129;PF00587;PF08915;		WP_048072870.1;		Methanobacterium formicicum	2162
A0A090JTT4	A0A090JTT4	BRM9_0505 DSM1535_0485 MB9_1543	Methanogenesis marker protein 15				Complete proteome	Predicted			Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR002731;IPR008275;IPR017676;	mfc:BRM9_0505;mfi:DSM1535_0485;		PF01869;		WP_048072133.1;		Methanobacterium formicicum	2162
A0A090JUQ9	A0A090JUQ9	DSM1535_0858	Putative nickel insertion protein				Complete proteome;Lyase;Nickel	Inferred from homology	lyase activity [GO:0016829]; nickel cation binding [GO:0016151]	LarC family	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR002822;	mfi:DSM1535_0858;	K09121;	PF01969;		WP_048072449.1;		Methanobacterium formicicum	2162
A0A090I8T2	A0A090I8T2	rps15 DSM1535_1326	30S ribosomal protein S15				Complete proteome;Ribonucleoprotein;Ribosomal protein	Inferred from homology	ribosome [GO:0005840]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	Universal ribosomal protein uS15 family	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum			cd00353;			IPR012606;IPR000589;IPR023029;IPR009068;	mfi:DSM1535_1326;	K02956;	PF08069;PF00312;		WP_048072849.1;		Methanobacterium formicicum	2162
A0A089ZCQ3	A0A089ZCQ3	BRM9_1006 DSM1535_1664	Putative rubrerythrin (Rubrerythrin)				Complete proteome	Predicted	metal ion binding [GO:0046872]; oxidoreductase activity [GO:0016491]		Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum			cd01041;			IPR012347;IPR009040;IPR009078;IPR003251;	mfc:BRM9_1006;mfi:DSM1535_1664;		PF02915;		WP_048073111.1;		Methanobacterium formicicum	2162
A0A089ZBE1	A0A089ZBE1	BRM9_0509 DSM1535_0489 MB9_1547	UPF0288 protein BRM9_0509				Complete proteome	Inferred from homology		UPF0288 family	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR016466;	mfc:BRM9_0509;mfi:DSM1535_0489;				WP_048072137.1;		Methanobacterium formicicum	2162
A0A090I455	A0A090I455	top6A DSM1535_0129	Type 2 DNA topoisomerase 6 subunit A (EC 5.6.2.3) (Type II DNA topoisomerase VI subunit A)	5.6.2.3	FUNCTION: Relaxes both positive and negative superturns and exhibits a strong decatenase activity. {ECO:0000256|HAMAP-Rule:MF_00132}.		ATP-binding;Complete proteome;DNA-binding;Isomerase;Magnesium;Metal-binding;Nucleotide-binding;Topoisomerase	Inferred from homology	chromosome [GO:0005694]; ATP binding [GO:0005524]; DNA binding [GO:0003677]; DNA topoisomerase type II (ATP-hydrolyzing) activity [GO:0003918]; endodeoxyribonuclease activity, producing 3'-phosphomonoesters [GO:0016889]; magnesium ion binding [GO:0000287]; DNA catabolic process, endonucleolytic [GO:0000737]; DNA topological change [GO:0006265]; DNA unwinding involved in DNA replication [GO:0006268]	TOP6A family	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum			cd00223;			IPR002815;IPR013049;IPR036078;IPR004085;IPR034136;IPR036388;	mfi:DSM1535_0129;	K03166;	PF04406;		WP_048071833.1;		Methanobacterium formicicum	2162
A0A090I781	A0A090I781	fbp BRM9_0638 DSM1535_0611 MB9_1678	Fructose-1,6-bisphosphate aldolase/phosphatase (FBP A/P) (FBP aldolase/phosphatase) (EC 3.1.3.11) (EC 4.1.2.13)	3.1.3.11; 4.1.2.13	FUNCTION: Catalyzes two subsequent steps in gluconeogenesis: the aldol condensation of dihydroxyacetone phosphate (DHAP) and glyceraldehyde-3-phosphate (GA3P) to fructose-1,6-bisphosphate (FBP), and the dephosphorylation of FBP to fructose-6-phosphate (F6P). {ECO:0000256|HAMAP-Rule:MF_02067}.	PATHWAY: Carbohydrate biosynthesis; gluconeogenesis. {ECO:0000256|HAMAP-Rule:MF_02067}.	Carbohydrate metabolism;Complete proteome;Gluconeogenesis;Hydrolase;Lyase;Magnesium;Metal-binding;Schiff base	Inferred from homology	fructose 1,6-bisphosphate 1-phosphatase activity [GO:0042132]; fructose-bisphosphate aldolase activity [GO:0004332]; magnesium ion binding [GO:0000287]; gluconeogenesis [GO:0006094]	FBP aldolase/phosphatase family	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR002803;IPR036076;	mfc:BRM9_0638;mfi:DSM1535_0611;	K01622;	PF01950;		WP_048072241.1;	UPA00138	Methanobacterium formicicum	2162
A0A090I2G3	A0A090I2G3	mtrA1 mtrA mtrA3 BRM9_0930 DSM1535_0900 MB9_1984	Tetrahydromethanopterin S-methyltransferase subunit A (EC 2.1.1.86) (N5-methyltetrahydromethanopterin--coenzyme M methyltransferase subunit A)	2.1.1.86	FUNCTION: Part of a complex that catalyzes the formation of methyl-coenzyme M and tetrahydromethanopterin from coenzyme M and methyl-tetrahydromethanopterin. This is an energy-conserving, sodium-ion translocating step. {ECO:0000256|HAMAP-Rule:MF_01093}.	PATHWAY: One-carbon metabolism; methanogenesis from CO(2); methyl-coenzyme M from 5,10-methylene-5,6,7,8-tetrahydromethanopterin: step 2/2. {ECO:0000256|HAMAP-Rule:MF_01093}.	Cell membrane;Cobalt;Complete proteome;Membrane;Methanogenesis;Methyltransferase;One-carbon metabolism;Transferase;Transmembrane;Transmembrane helix	Inferred from homology	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; cobalt ion binding [GO:0050897]; tetrahydromethanopterin S-methyltransferase activity [GO:0030269]; methanogenesis, from carbon dioxide [GO:0019386]; one-carbon metabolic process [GO:0006730]; sodium ion transport [GO:0006814]	MtrA family	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR030688;IPR005778;	mfc:BRM9_0930;mfi:DSM1535_0900;	K00577;	PF04208;		WP_048072487.1;	UPA00640;UER00698	Methanobacterium formicicum	2162
A0A090I6I6	A0A090I6I6	fni DSM1535_0288	Isopentenyl-diphosphate delta-isomerase (IPP isomerase) (EC 5.3.3.2) (Isopentenyl diphosphate:dimethylallyl diphosphate isomerase) (Isopentenyl pyrophosphate isomerase) (Type 2 isopentenyl diphosphate isomerase) (IDI-2)	5.3.3.2	FUNCTION: Involved in the biosynthesis of isoprenoids. Catalyzes the 1,3-allylic rearrangement of the homoallylic substrate isopentenyl (IPP) to its allylic isomer, dimethylallyl diphosphate (DMAPP). {ECO:0000256|HAMAP-Rule:MF_00354}.		Complete proteome;Cytoplasm;FMN;Flavoprotein;Isomerase;Isoprene biosynthesis;Magnesium;Metal-binding;NADP	Inferred from homology	cytoplasm [GO:0005737]; FMN binding [GO:0010181]; isopentenyl-diphosphate delta-isomerase activity [GO:0004452]; magnesium ion binding [GO:0000287]; NADPH binding [GO:0070402]; oxidoreductase activity [GO:0016491]; isoprenoid biosynthetic process [GO:0008299]	IPP isomerase type 2 family	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum			cd02811;			IPR013785;IPR000262;IPR011179;	mfi:DSM1535_0288;	K01823;	PF01070;		WP_048071963.1;		Methanobacterium formicicum	2162
A0A090I5E9	A0A090I5E9	pycB DSM1535_0852	Pyruvate carboxylase subunit B (EC 6.4.1.1)	6.4.1.1			Complete proteome;Ligase;Pyruvate	Predicted	oxaloacetate decarboxylase activity [GO:0008948]; pyruvate carboxylase activity [GO:0004736]; sodium ion transport [GO:0006814]		Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR013785;IPR001882;IPR000089;IPR003379;IPR005776;IPR000891;IPR011053;	mfi:DSM1535_0852;	K01960;	PF00364;PF00682;PF02436;		WP_048072443.1;		Methanobacterium formicicum	2162
A0A090I3C5	A0A090I3C5	trpB2 trpB DSM1535_1379	Tryptophan synthase beta chain (EC 4.2.1.20)	4.2.1.20	FUNCTION: The beta subunit is responsible for the synthesis of L-tryptophan from indole and L-serine. {ECO:0000256|HAMAP-Rule:MF_00133}.	PATHWAY: Amino-acid biosynthesis; L-tryptophan biosynthesis; L-tryptophan from chorismate: step 5/5. {ECO:0000256|HAMAP-Rule:MF_00133}.	Amino-acid biosynthesis;Aromatic amino acid biosynthesis;Complete proteome;Lyase;Pyridoxal phosphate;Tryptophan biosynthesis	Inferred from homology	pyridoxal phosphate binding [GO:0030170]; tryptophan synthase activity [GO:0004834]	TrpB family	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum			cd06446;			IPR001926;IPR006316;IPR006654;IPR023026;IPR036052;	mfi:DSM1535_1379;	K06001;	PF00291;		WP_048072895.1;	UPA00035;UER00044	Methanobacterium formicicum	2162
A0A090I5U4	A0A090I5U4	BRM9_2165 DSM1535_1104 MB9_2196	SPFH domain/Band 7 family protein				Complete proteome;Membrane;Transmembrane;Transmembrane helix	Predicted	integral component of membrane [GO:0016021]		Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR001107;IPR036013;IPR001972;	mfc:BRM9_2165;mfi:DSM1535_1104;		PF01145;		WP_023992941.1;		Methanobacterium formicicum	2162
A0A090I4J0	A0A090I4J0	pycA BRM9_0410 DSM1535_0337 MB9_1446	Pyruvate carboxylase subunit A (EC 6.4.1.1) (Pyruvate carboxylase subunit A PycA)	6.4.1.1			ATP-binding;Complete proteome;Ligase;Nucleotide-binding;Pyruvate	Predicted	ATP binding [GO:0005524]; metal ion binding [GO:0046872]; pyruvate carboxylase activity [GO:0004736]		Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR004549;IPR011761;IPR005481;IPR011764;IPR005482;IPR005479;IPR016185;IPR011054;	mfc:BRM9_0410;mfi:DSM1535_0337;	K01959;	PF02785;PF00289;PF02786;		WP_048072009.1;		Methanobacterium formicicum	2162
A0A090I6Y3	A0A090I6Y3	taw1 DSM1535_1603	S-adenosyl-L-methionine-dependent tRNA 4-demethylwyosine synthase (EC 4.1.3.44) (tRNA wyosine derivatives biosynthesis protein Taw1)	4.1.3.44	FUNCTION: Component of the wyosine derivatives biosynthesis pathway that catalyzes the condensation of N-methylguanine with 2 carbon atoms from pyruvate to form the tricyclic 4-demethylwyosine (imG-14) on guanosine-37 of tRNA(Phe). {ECO:0000256|HAMAP-Rule:MF_01921}.		4Fe-4S;Complete proteome;Cytoplasm;Iron;Iron-sulfur;Lyase;Metal-binding;S-adenosyl-L-methionine;tRNA processing	Inferred from homology	cytoplasm [GO:0005737]; 4 iron, 4 sulfur cluster binding [GO:0051539]; metal ion binding [GO:0046872]; tRNA-4-demethylwyosine synthase activity [GO:0102521]; tRNA processing [GO:0008033]	TYW1 family	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR013785;IPR007197;IPR013917;IPR034556;IPR023993;	mfi:DSM1535_1603;	K15449;	PF04055;PF08608;		WP_048073068.1;		Methanobacterium formicicum	2162
A0A089ZVL1	A0A089ZVL1	rplP0 rpl10 BRM9_1816 DSM1535_2458 MB9_0540	50S ribosomal protein L10 (Acidic ribosomal protein P0 homolog)		FUNCTION: Forms part of the ribosomal stalk, playing a central role in the interaction of the ribosome with GTP-bound translation factors. {ECO:0000256|HAMAP-Rule:MF_00280}.		Complete proteome;RNA-binding;Ribonucleoprotein;Ribosomal protein;rRNA-binding	Inferred from homology	ribosome [GO:0005840]; large ribosomal subunit rRNA binding [GO:0070180]; ribosome biogenesis [GO:0042254]; translation [GO:0006412]	Universal ribosomal protein uL10 family	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR022909;IPR001790;IPR040637;	mfc:BRM9_1816;mfi:DSM1535_2458;	K02864;	PF00466;PF17777;		WP_048073751.1;		Methanobacterium formicicum	2162
