yourlist:M201907185C475328CEF75220C360D524E9D456CE29FB33D	Entry	Gene names	Protein names	EC number	Function [CC]	Pathway	Keywords	Protein existence	Gene ontology (GO)	Protein families	Taxonomic lineage (SUPERKINGDOM)	Taxonomic lineage (PHYLUM)	Taxonomic lineage (CLASS)	Taxonomic lineage (ORDER)	Taxonomic lineage (FAMILY)	Taxonomic lineage (GENUS)	Taxonomic lineage (SPECIES)	Cross-reference (BioCyc)	Cross-reference (BRENDA)	Cross-reference (CDD)	Cross-reference (eggNOG)	Ensembl transcript	Cross-reference (InterPro)	Cross-reference (KEGG)	Cross-reference (KO)	Cross-reference (Pfam)	Cross-reference (Reactome)	Cross-reference (RefSeq)	Cross-reference (UniPathway)	Organism	Organism ID
A0A089ZJ55	A0A089ZJ55	pcn BRM9_2263 DSM1535_1197 MB9_2301	DNA polymerase sliding clamp (Proliferating cell nuclear antigen homolog) (PCNA)		FUNCTION: Sliding clamp subunit that acts as a moving platform for DNA processing. Responsible for tethering the catalytic subunit of DNA polymerase and other proteins to DNA during high-speed replication. {ECO:0000256|HAMAP-Rule:MF_00317}.; FUNCTION: Sliding clamp subunit. Responsible for tethering the catalytic subunit of DNA polymerase to DNA during high-speed replication. {ECO:0000256|RuleBase:RU003673}.		Complete proteome;DNA replication;DNA-binding	Inferred from homology	DNA binding [GO:0003677]; DNA polymerase processivity factor activity [GO:0030337]; DNA replication [GO:0006260]; regulation of DNA replication [GO:0006275]	PCNA family	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR000730;IPR022649;IPR022659;IPR022648;	mfc:BRM9_2263;mfi:DSM1535_1197;	K04802;	PF02747;PF00705;		WP_048072733.1;		Methanobacterium formicicum	2162
A0A089ZCQ3	A0A089ZCQ3	BRM9_1006 DSM1535_1664	Putative rubrerythrin (Rubrerythrin)				Complete proteome	Predicted	metal ion binding [GO:0046872]; oxidoreductase activity [GO:0016491]		Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum			cd01041;			IPR012347;IPR009040;IPR009078;IPR003251;	mfc:BRM9_1006;mfi:DSM1535_1664;		PF02915;		WP_048073111.1;		Methanobacterium formicicum	2162
A0A090I246	A0A090I246	hmgA BRM9_0582 DSM1535_0563 MB9_1621	3-hydroxy-3-methylglutaryl coenzyme A reductase (HMG-CoA reductase) (EC 1.1.1.34)	1.1.1.34		PATHWAY: Metabolic intermediate biosynthesis; (R)-mevalonate biosynthesis; (R)-mevalonate from acetyl-CoA: step 3/3. {ECO:0000256|RuleBase:RU361219}.	Complete proteome;NADP;Oxidoreductase	Inferred from homology	coenzyme binding [GO:0050662]; hydroxymethylglutaryl-CoA reductase (NADPH) activity [GO:0004420]; coenzyme A metabolic process [GO:0015936]; isoprenoid biosynthetic process [GO:0008299]	HMG-CoA reductase family	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum			cd00643;			IPR002202;IPR023074;IPR023076;IPR004554;IPR023282;IPR009023;IPR009029;	mfc:BRM9_0582;mfi:DSM1535_0563;	K00021;	PF00368;		WP_048072201.1;	UPA00058;UER00103	Methanobacterium formicicum	2162
A0A089ZH50	A0A089ZH50	pstS2 BRM9_0785 MB9_1835	Phosphate ABC transporter phosphate-binding protein PstS2 (Phosphate binding protein)				Complete proteome;Membrane;Transmembrane;Transmembrane helix	Predicted	integral component of membrane [GO:0016021]		Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR024370;	mfc:BRM9_0785;	K02040;	PF12849;		WP_048084884.1;		Methanobacterium formicicum	2162
A0A089ZER7	A0A089ZER7	rrp4 BRM9_1737 DSM1535_2376 MB9_0620	Exosome complex component Rrp4		FUNCTION: Non-catalytic component of the exosome, which is a complex involved in RNA degradation. Increases the RNA binding and the efficiency of RNA degradation. Confers strong poly(A) specificity to the exosome. {ECO:0000256|HAMAP-Rule:MF_00623}.		Complete proteome;Cytoplasm;Exosome;RNA-binding	Inferred from homology	cytoplasm [GO:0005737]; exosome (RNase complex) [GO:0000178]; poly(A) binding [GO:0008143]; RNA catabolic process [GO:0006401]	RRP4 family	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR025721;IPR026699;IPR004087;IPR004088;IPR036612;IPR012340;IPR023474;IPR022967;IPR003029;	mfc:BRM9_1737;mfi:DSM1535_2376;	K03679;	PF14382;PF15985;		WP_048073681.1;		Methanobacterium formicicum	2162
A0A090I599	A0A090I599	cdhC BRM9_0799 DSM1535_0761 MB9_1852	Acetyl-CoA decarbonylase/synthase complex subunit beta (ACDS complex subunit beta) (EC 2.3.1.169) (ACDS complex acyltransferase)	2.3.1.169	FUNCTION: Part of a complex that catalyzes the reversible cleavage of acetyl-CoA, allowing autotrophic growth from CO(2). The alpha-epsilon complex generates CO from CO(2), while the beta subunit (this protein) combines the CO with CoA and a methyl group to form acetyl-CoA. The methyl group, which is incorporated into acetyl-CoA, is transferred to the beta subunit by a corrinoid iron-sulfur protein (the gamma-delta complex). {ECO:0000256|HAMAP-Rule:MF_01138}.		Acyltransferase;Coiled coil;Complete proteome;Iron;Iron-sulfur;Metal-binding;Nickel;Transferase	Inferred from homology	acetyltransferase activity [GO:0016407]; carbon-monoxide dehydrogenase (acceptor) activity [GO:0018492]; CO-methylating acetyl-CoA synthase activity [GO:0043884]; iron ion binding [GO:0005506]; iron-sulfur cluster binding [GO:0051536]; nickel cation binding [GO:0016151]; acetyl-CoA metabolic process [GO:0006084]	CdhC family	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR004461;IPR038571;IPR023432;IPR011254;	mfc:BRM9_0799;mfi:DSM1535_0761;	K00193;	PF03598;		WP_048072368.1;		Methanobacterium formicicum	2162
A0A090I2T7	A0A090I2T7	mcrG BRM9_0936 DSM1535_0906 MB9_1990	Methyl-coenzyme M reductase subunit gamma (EC 2.8.4.1)	2.8.4.1		PATHWAY: One-carbon metabolism; methyl-coenzyme M reduction; methane from methyl-coenzyme M: step 1/1. {ECO:0000256|PIRNR:PIRNR000264}.	Complete proteome;Methanogenesis;Transferase	Predicted	coenzyme-B sulfoethylthiotransferase activity [GO:0050524]; methanogenesis [GO:0015948]		Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum			cd00539;			IPR009024;IPR003178;IPR036994;	mfc:BRM9_0936;mfi:DSM1535_0906;	K00402;	PF02240;		WP_048072492.1;	UPA00646;UER00699	Methanobacterium formicicum	2162
A0A090I424	A0A090I424	eif5a BRM9_1913 DSM1535_0099 MB9_0444	Translation initiation factor 5A (Hypusine-containing protein) (eIF-5A)		FUNCTION: Functions by promoting the formation of the first peptide bond. {ECO:0000256|HAMAP-Rule:MF_00085, ECO:0000256|SAAS:SAAS00024275}.		Complete proteome;Cytoplasm;Hypusine;Initiation factor;Protein biosynthesis	Inferred from homology	cytoplasm [GO:0005737]; ribosome binding [GO:0043022]; translation elongation factor activity [GO:0003746]; translation initiation factor activity [GO:0003743]; positive regulation of translational elongation [GO:0045901]; positive regulation of translational termination [GO:0045905]; translational frameshifting [GO:0006452]	EIF-5A family	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR001884;IPR012340;IPR014722;IPR019769;IPR022847;IPR020189;IPR008991;	mfc:BRM9_1913;mfi:DSM1535_0099;	K03263;	PF01287;		WP_048071806.1;		Methanobacterium formicicum	2162
A0A090I4Y4	A0A090I4Y4	DSM1535_2096	Circadian clock protein KaiC				Complete proteome	Predicted	ATP binding [GO:0005524]		Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR014774;IPR010624;IPR027417;	mfi:DSM1535_2096;		PF06745;				Methanobacterium formicicum	2162
A0A089ZVL1	A0A089ZVL1	rplP0 rpl10 BRM9_1816 DSM1535_2458 MB9_0540	50S ribosomal protein L10 (Acidic ribosomal protein P0 homolog)		FUNCTION: Forms part of the ribosomal stalk, playing a central role in the interaction of the ribosome with GTP-bound translation factors. {ECO:0000256|HAMAP-Rule:MF_00280}.		Complete proteome;RNA-binding;Ribonucleoprotein;Ribosomal protein;rRNA-binding	Inferred from homology	ribosome [GO:0005840]; large ribosomal subunit rRNA binding [GO:0070180]; ribosome biogenesis [GO:0042254]; translation [GO:0006412]	Universal ribosomal protein uL10 family	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR022909;IPR001790;IPR040637;	mfc:BRM9_1816;mfi:DSM1535_2458;	K02864;	PF00466;PF17777;		WP_048073751.1;		Methanobacterium formicicum	2162
A0A090I428	A0A090I428	BRM9_2089 DSM1535_1592 MB9_0242	Uncharacterized protein				Complete proteome;Membrane;Transmembrane;Transmembrane helix	Predicted	integral component of membrane [GO:0016021]		Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR007509;	mfc:BRM9_2089;mfi:DSM1535_1592;		PF04415;		WP_048073057.1;		Methanobacterium formicicum	2162
A0A090JW72	A0A090JW72	arsA BRM9_0115 DSM1535_1438 MB9_0079	Arsenite-activated ATPase ArsA (Putative arsenical pump-driving ATPase) (EC 3.6.3.16)	3.6.3.16			Coiled coil;Complete proteome;Hydrolase	Predicted	ATP binding [GO:0005524]; ATPase activity [GO:0016887]; ATPase-coupled arsenite transmembrane transporter activity [GO:0015446]		Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum			cd02035;			IPR025723;IPR016300;IPR027417;	mfc:BRM9_0115;mfi:DSM1535_1438;	K01551;	PF02374;		WP_048072944.1;		Methanobacterium formicicum	2162
A0A090JWN0	A0A090JWN0	DSM1535_1604	Putative secreted protein				Complete proteome	Predicted			Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR002477;IPR036365;IPR036366;	mfi:DSM1535_1604;		PF01471;				Methanobacterium formicicum	2162
A0A090I6I6	A0A090I6I6	fni DSM1535_0288	Isopentenyl-diphosphate delta-isomerase (IPP isomerase) (EC 5.3.3.2) (Isopentenyl diphosphate:dimethylallyl diphosphate isomerase) (Isopentenyl pyrophosphate isomerase) (Type 2 isopentenyl diphosphate isomerase) (IDI-2)	5.3.3.2	FUNCTION: Involved in the biosynthesis of isoprenoids. Catalyzes the 1,3-allylic rearrangement of the homoallylic substrate isopentenyl (IPP) to its allylic isomer, dimethylallyl diphosphate (DMAPP). {ECO:0000256|HAMAP-Rule:MF_00354}.		Complete proteome;Cytoplasm;FMN;Flavoprotein;Isomerase;Isoprene biosynthesis;Magnesium;Metal-binding;NADP	Inferred from homology	cytoplasm [GO:0005737]; FMN binding [GO:0010181]; isopentenyl-diphosphate delta-isomerase activity [GO:0004452]; magnesium ion binding [GO:0000287]; NADPH binding [GO:0070402]; oxidoreductase activity [GO:0016491]; isoprenoid biosynthetic process [GO:0008299]	IPP isomerase type 2 family	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum			cd02811;			IPR013785;IPR000262;IPR011179;	mfi:DSM1535_0288;	K01823;	PF01070;		WP_048071963.1;		Methanobacterium formicicum	2162
A0A090I3I7	A0A090I3I7	DSM1535_1480	Putative sugar kinase MTH_1544 (EC 2.7.1.-)	2.7.1.-			Complete proteome;Kinase;Transferase	Inferred from homology	kinase activity [GO:0016301]; phosphotransferase activity, alcohol group as acceptor [GO:0016773]	Carbohydrate kinase PfkB family	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR002173;IPR011611;IPR002139;IPR029056;	mfi:DSM1535_1480;	K22026;	PF00294;		WP_048072976.1;		Methanobacterium formicicum	2162
A0A089ZGG9	A0A089ZGG9	rpl4p rpl4 BRM9_0406 DSM1535_0333 MB9_1442	50S ribosomal protein L4		FUNCTION: Forms part of the polypeptide exit tunnel. {ECO:0000256|HAMAP-Rule:MF_01328}.; FUNCTION: One of the primary rRNA binding proteins, this protein initially binds near the 5'-end of the 23S rRNA. It is important during the early stages of 50S assembly. It makes multiple contacts with different domains of the 23S rRNA in the assembled 50S subunit and ribosome. {ECO:0000256|HAMAP-Rule:MF_01328}.		Complete proteome;RNA-binding;Ribonucleoprotein;Ribosomal protein;rRNA-binding	Inferred from homology	ribosome [GO:0005840]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	Universal ribosomal protein uL4 family	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR002136;IPR013000;IPR023574;IPR019970;	mfc:BRM9_0406;mfi:DSM1535_0333;	K02930;	PF00573;		WP_048072005.1;		Methanobacterium formicicum	2162
A0A090I2F4	A0A090I2F4	mvhB DSM1535_0880	Polyferredoxin protein MvhB				Complete proteome	Predicted	electron transfer activity [GO:0009055]; iron ion binding [GO:0005506]		Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR001080;IPR017896;IPR017900;	mfi:DSM1535_0880;		PF00037;PF12800;PF12838;		WP_048072471.1;		Methanobacterium formicicum	2162
A0A090I2G3	A0A090I2G3	mtrA1 mtrA mtrA3 BRM9_0930 DSM1535_0900 MB9_1984	Tetrahydromethanopterin S-methyltransferase subunit A (EC 2.1.1.86) (N5-methyltetrahydromethanopterin--coenzyme M methyltransferase subunit A)	2.1.1.86	FUNCTION: Part of a complex that catalyzes the formation of methyl-coenzyme M and tetrahydromethanopterin from coenzyme M and methyl-tetrahydromethanopterin. This is an energy-conserving, sodium-ion translocating step. {ECO:0000256|HAMAP-Rule:MF_01093}.	PATHWAY: One-carbon metabolism; methanogenesis from CO(2); methyl-coenzyme M from 5,10-methylene-5,6,7,8-tetrahydromethanopterin: step 2/2. {ECO:0000256|HAMAP-Rule:MF_01093}.	Cell membrane;Cobalt;Complete proteome;Membrane;Methanogenesis;Methyltransferase;One-carbon metabolism;Transferase;Transmembrane;Transmembrane helix	Inferred from homology	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; cobalt ion binding [GO:0050897]; tetrahydromethanopterin S-methyltransferase activity [GO:0030269]; methanogenesis, from carbon dioxide [GO:0019386]; one-carbon metabolic process [GO:0006730]; sodium ion transport [GO:0006814]	MtrA family	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR030688;IPR005778;	mfc:BRM9_0930;mfi:DSM1535_0900;	K00577;	PF04208;		WP_048072487.1;	UPA00640;UER00698	Methanobacterium formicicum	2162
A0A0S4FMQ4	A0A0S4FMQ4	MB9_0674	Putative hydrogenase expression/formation protein MJ0676				Complete proteome	Predicted			Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum			cd02197;			IPR011854;IPR010918;IPR036676;IPR016188;IPR036921;			PF00586;PF02769;				Methanobacterium formicicum	2162
A0A090I518	A0A090I518	DSM1535_2293 MB9_0710	Digeranylgeranylglycerophospholipid reductase (DGGGPL reductase) (EC 1.3.7.11) (2,3-bis-O-geranylgeranylglyceryl phosphate reductase) (Geranylgeranyl reductase) (GGR)	1.3.7.11	FUNCTION: Is involved in the reduction of 2,3-digeranylgeranylglycerophospholipids (unsaturated archaeols) into 2,3-diphytanylglycerophospholipids (saturated archaeols) in the biosynthesis of archaeal membrane lipids. Catalyzes the formation of archaetidic acid (2,3-di-O-phytanyl-sn-glyceryl phosphate) from 2,3-di-O-geranylgeranylglyceryl phosphate (DGGGP) via the hydrogenation of each double bond of the isoprenoid chains. {ECO:0000256|HAMAP-Rule:MF_01287}.	PATHWAY: Membrane lipid metabolism; glycerophospholipid metabolism. {ECO:0000256|HAMAP-Rule:MF_01287}.	Complete proteome;FAD;Flavoprotein;Lipid biosynthesis;Lipid metabolism;NAD;Oxidoreductase;Phospholipid biosynthesis;Phospholipid metabolism	Inferred from homology	FAD binding [GO:0071949]; geranylgeranyl reductase activity [GO:0045550]; oxidoreductase activity, acting on the CH-CH group of donors, NAD or NADP as acceptor [GO:0016628]; glycerophospholipid metabolic process [GO:0006650]; membrane lipid biosynthetic process [GO:0046467]; phospholipid biosynthetic process [GO:0008654]	Geranylgeranyl reductase family, DGGGPL reductase subfamily	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR023590;IPR002938;IPR036188;IPR011777;	mfi:DSM1535_2293;	K17830;	PF01494;		WP_048073619.1;	UPA00940	Methanobacterium formicicum	2162
A0A090I8S8	A0A090I8S8	BRM9_1808 DSM1535_2449 MB9_0548	ABC transporter ATP-binding protein (Putative ABC transporter ATP-binding protein MJ0121)				ATP-binding;Complete proteome;Nucleotide-binding	Predicted	ATP binding [GO:0005524]; ATPase activity [GO:0016887]		Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR003593;IPR003439;IPR017871;IPR027417;	mfc:BRM9_1808;mfi:DSM1535_2449;		PF00005;		WP_048073743.1;		Methanobacterium formicicum	2162
A0A089ZCL2	A0A089ZCL2	lon BRM9_1726 MB9_0630	Lon protease (EC 3.4.21.53) (ATP-dependent protease La)	3.4.21.53	FUNCTION: ATP-dependent serine protease that mediates the selective degradation of mutant and abnormal proteins as well as certain short-lived regulatory proteins. Required for cellular homeostasis and for survival from DNA damage and developmental changes induced by stress. Degrades polypeptides processively to yield small peptide fragments that are 5 to 10 amino acids long. Binds to DNA in a double-stranded, site-specific manner. {ECO:0000256|HAMAP-Rule:MF_01973}.		ATP-binding;Complete proteome;Cytoplasm;Hydrolase;Nucleotide-binding;Protease;Serine protease;Stress response	Evidence at transcript level	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; ATP-dependent peptidase activity [GO:0004176]; sequence-specific DNA binding [GO:0043565]; serine-type endopeptidase activity [GO:0004252]; cellular response to heat [GO:0034605]; protein quality control for misfolded or incompletely synthesized proteins [GO:0006515]	Peptidase S16 family	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR003593;IPR003959;IPR027543;IPR004815;IPR008269;IPR027065;IPR003111;IPR027417;IPR008268;IPR015947;IPR020568;IPR014721;	mfc:BRM9_1726;	K01338;	PF00004;PF05362;PF02190;		WP_048085491.1;		Methanobacterium formicicum	2162
A0A089ZG23	A0A089ZG23	fwdF1 BRM9_0174 DSM1535_1492 MB9_0139	Formylmethanofuran dehydrogenase subunit F FwdF1 (Polyferredoxin protein FwdF)				Complete proteome	Predicted			Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR017896;IPR017900;	mfc:BRM9_0174;mfi:DSM1535_1492;	K00205;	PF00037;PF12838;		WP_048072983.1;		Methanobacterium formicicum	2162
A0A090I7B6	A0A090I7B6	guaB BRM9_1096 DSM1535_1750 MB9_1248	Inosine-5'-monophosphate dehydrogenase (IMP dehydrogenase) (IMPD) (IMPDH) (EC 1.1.1.205)	1.1.1.205	FUNCTION: Catalyzes the conversion of inosine 5'-phosphate (IMP) to xanthosine 5'-phosphate (XMP), the first committed and rate-limiting step in the de novo synthesis of guanine nucleotides, and therefore plays an important role in the regulation of cell growth. {ECO:0000256|HAMAP-Rule:MF_01964}.	PATHWAY: Purine metabolism; XMP biosynthesis via de novo pathway; XMP from IMP: step 1/1. {ECO:0000256|HAMAP-Rule:MF_01964}.	CBS domain;Complete proteome;GMP biosynthesis;Metal-binding;NAD;Oxidoreductase;Potassium;Purine biosynthesis	Inferred from homology	IMP dehydrogenase activity [GO:0003938]; metal ion binding [GO:0046872]; nucleotide binding [GO:0000166]; GMP biosynthetic process [GO:0006177]	IMPDH/GMPR family	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum			cd00381;			IPR013785;IPR000644;IPR005990;IPR001093;	mfc:BRM9_1096;mfi:DSM1535_1750;	K00088;	PF00571;PF00478;		WP_048073181.1;	UPA00601;UER00295	Methanobacterium formicicum	2162
A0A090I672	A0A090I672	acbB rfbB BRM9_1967 DSM1535_0157 MB9_0389	dTDP-glucose 4,6-dehydratase (EC 4.2.1.46) (dTDP-glucose 4,6-dehydratase RfbB)	4.2.1.46			Complete proteome;Lyase	Predicted	dTDP-glucose 4,6-dehydratase activity [GO:0008460]; nucleotide-sugar metabolic process [GO:0009225]		Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum			cd05246;			IPR005888;IPR016040;IPR036291;	mfc:BRM9_1967;mfi:DSM1535_0157;	K01710;	PF16363;		WP_048071857.1;		Methanobacterium formicicum	2162
A0A090I552	A0A090I552	rrp42 BRM9_1735 DSM1535_2374 MB9_0622	Exosome complex component Rrp42		FUNCTION: Non-catalytic component of the exosome, which is a complex involved in RNA degradation. Contributes to the structuring of the Rrp41 active site. {ECO:0000256|HAMAP-Rule:MF_00622}.		Complete proteome;Cytoplasm;Exonuclease;Exosome;Hydrolase;Nuclease	Inferred from homology	cytoplasm [GO:0005737]; exosome (RNase complex) [GO:0000178]; exonuclease activity [GO:0004527]; RNA catabolic process [GO:0006401]	RNase PH family, Rrp42 subfamily	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum			cd11365;			IPR001247;IPR015847;IPR036345;IPR027408;IPR020568;IPR020869;	mfc:BRM9_1735;mfi:DSM1535_2374;	K12589;	PF01138;PF03725;		WP_048073679.1;		Methanobacterium formicicum	2162
A0A090I4Y0	A0A090I4Y0	thrC BRM9_0597 DSM1535_0579 MB9_1637	Threonine synthase (EC 4.2.3.1)	4.2.3.1	FUNCTION: Catalyzes the gamma-elimination of phosphate from L-phosphohomoserine and the beta-addition of water to produce L-threonine. {ECO:0000256|PIRNR:PIRNR038945}.	PATHWAY: Amino-acid biosynthesis; L-threonine biosynthesis; L-threonine from L-aspartate: step 5/5. {ECO:0000256|PIRNR:PIRNR038945}.	Amino-acid biosynthesis;Complete proteome;Lyase;Pyridoxal phosphate;Threonine biosynthesis	Inferred from homology	pyridoxal phosphate binding [GO:0030170]; threonine synthase activity [GO:0004795]; threonine biosynthetic process [GO:0009088]	Threonine synthase family	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR001926;IPR000634;IPR004450;IPR026260;IPR036052;	mfc:BRM9_0597;mfi:DSM1535_0579;	K01733;	PF00291;		WP_048072214.1;	UPA00050;UER00065	Methanobacterium formicicum	2162
A0A090I5G8	A0A090I5G8	mvhG mvhG2 BRM9_0914 DSM1535_0882 MB9_1968	F420-non-reducing hydrogenase subunit G (EC 1.12.99.-) (Methyl viologen-reducing hydrogenase gamma subunit MvhG2)	1.12.99.-			Complete proteome;Oxidoreductase	Predicted	iron-sulfur cluster binding [GO:0051536]; oxidoreductase activity [GO:0016491]		Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR006137;IPR037024;	mfc:BRM9_0914;mfi:DSM1535_0882;	K14128;	PF01058;		WP_048072473.1;		Methanobacterium formicicum	2162
A0A090I496	A0A090I496	argC DSM1535_1683	N-acetyl-gamma-glutamyl-phosphate reductase (AGPR) (EC 1.2.1.38) (N-acetyl-glutamate semialdehyde dehydrogenase) (NAGSA dehydrogenase)	1.2.1.38	FUNCTION: Catalyzes the NADPH-dependent reduction of N-acetyl-5-glutamyl phosphate to yield N-acetyl-L-glutamate 5-semialdehyde. {ECO:0000256|HAMAP-Rule:MF_00150}.	PATHWAY: Amino-acid biosynthesis; L-arginine biosynthesis; N(2)-acetyl-L-ornithine from L-glutamate: step 3/4. {ECO:0000256|HAMAP-Rule:MF_00150}.	Amino-acid biosynthesis;Arginine biosynthesis;Complete proteome;Cytoplasm;NADP;Oxidoreductase	Inferred from homology	cytoplasm [GO:0005737]; N-acetyl-gamma-glutamyl-phosphate reductase activity [GO:0003942]; NAD binding [GO:0051287]; protein dimerization activity [GO:0046983]; arginine biosynthetic process [GO:0006526]	NAGSA dehydrogenase family, Type 1 subfamily	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR000706;IPR036291;IPR000534;IPR012280;	mfi:DSM1535_1683;	K00145;	PF01118;PF02774;		WP_048073127.1;	UPA00068;UER00108	Methanobacterium formicicum	2162
K2QDP1	K2QDP1	rps10p rps10 A994_04375	30S ribosomal protein S10		FUNCTION: Involved in the binding of tRNA to the ribosomes. {ECO:0000256|HAMAP-Rule:MF_00508, ECO:0000256|SAAS:SAAS00243318}.		Complete proteome;Ribonucleoprotein;Ribosomal protein	Inferred from homology	small ribosomal subunit [GO:0015935]; structural constituent of ribosome [GO:0003735]; tRNA binding [GO:0000049]; translation [GO:0006412]	Universal ribosomal protein uS10 family	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR001848;IPR018268;IPR027486;IPR036838;IPR005729;			PF00338;		WP_004030104.1;		Methanobacterium formicicum (strain DSM 3637 / PP1)	1204725
A0A090I7S6	A0A090I7S6	DSM1535_1976	Uncharacterized protein				Complete proteome;Membrane;Transmembrane;Transmembrane helix	Predicted	integral component of membrane [GO:0016021]		Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR038765;IPR002931;	mfi:DSM1535_1976;		PF01841;				Methanobacterium formicicum	2162
A0A090I729	A0A090I729	BRM9_0570 DSM1535_0551 MB9_1608	TrkA domain-containing protein				Coiled coil;Complete proteome	Predicted	cation transmembrane transporter activity [GO:0008324]; potassium ion transport [GO:0006813]		Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR038078;IPR026022;IPR006037;IPR036721;	mfc:BRM9_0570;mfi:DSM1535_0551;		PF01895;PF02080;		WP_048072190.1;		Methanobacterium formicicum	2162
